ID	hgnc_id	symbol	prev_symbol
5	HGNC:5	A1BG	
37133	HGNC:37133	A1BG-AS1	NCRNA00181|A1BGAS|A1BG-AS
24086	HGNC:24086	A1CF	
7	HGNC:7	A2M	
27057	HGNC:27057	A2M-AS1	
23336	HGNC:23336	A2ML1	CPAMD9
41022	HGNC:41022	A2ML1-AS1	
41523	HGNC:41523	A2ML1-AS2	
8	HGNC:8	A2MP1	A2MP
30005	HGNC:30005	A3GALT2	A3GALT2P
18149	HGNC:18149	A4GALT	P1
17968	HGNC:17968	A4GNT	
13666	HGNC:13666	AAAS	
21298	HGNC:21298	AACS	
18226	HGNC:18226	AACSP1	AACSL
17	HGNC:17	AADAC	
24427	HGNC:24427	AADACL2	
50301	HGNC:50301	AADACL2-AS1	
32037	HGNC:32037	AADACL3	
32038	HGNC:32038	AADACL4	
50305	HGNC:50305	AADACP1	
17929	HGNC:17929	AADAT	
25662	HGNC:25662	AAGAB	
19679	HGNC:19679	AAK1	
30205	HGNC:30205	AAMDC	C11orf67
18	HGNC:18	AAMP	
19	HGNC:19	AANAT	
15886	HGNC:15886	AAR2	C20orf4
33842	HGNC:33842	AARD	C8orf85
20	HGNC:20	AARS1	AARS
49894	HGNC:49894	AARS1P1	AARSP1
21022	HGNC:21022	AARS2	AARSL
28417	HGNC:28417	AARSD1	
54994	HGNC:54994	AARSD1P1	
23993	HGNC:23993	AASDH	
14235	HGNC:14235	AASDHPPT	
17366	HGNC:17366	AASS	
51526	HGNC:51526	AATBC	
19235	HGNC:19235	AATF	
21	HGNC:21	AATK	
22	HGNC:22	AAVS1	
49667	HGNC:49667	ABALON	
23	HGNC:23	ABAT	
29	HGNC:29	ABCA1	ABC1|HDLDT1
32	HGNC:32	ABCA2	ABC2
33	HGNC:33	ABCA3	ABC3
55707	HGNC:55707	ABCA3P1	
34	HGNC:34	ABCA4	STGD1|ABCR|RP19|STGD
35	HGNC:35	ABCA5	
36	HGNC:36	ABCA6	
37	HGNC:37	ABCA7	
38	HGNC:38	ABCA8	
39	HGNC:39	ABCA9	
39983	HGNC:39983	ABCA9-AS1	
30	HGNC:30	ABCA10	
31	HGNC:31	ABCA11P	ABCA11
14637	HGNC:14637	ABCA12	ICR2B
14638	HGNC:14638	ABCA13	
34405	HGNC:34405	ABCA15P	NCRNA00169|CRYM-AS1
32972	HGNC:32972	ABCA17P	
40	HGNC:40	ABCB1	PGY1|MDR1|CLCS
45	HGNC:45	ABCB4	PGY3|MDR3
46	HGNC:46	ABCB5	
47	HGNC:47	ABCB6	
48	HGNC:48	ABCB7	ABC7
49	HGNC:49	ABCB8	
50	HGNC:50	ABCB9	
41	HGNC:41	ABCB10	
14114	HGNC:14114	ABCB10P1	ABCB10P|ABCB10P2
31129	HGNC:31129	ABCB10P3	
31130	HGNC:31130	ABCB10P4	
42	HGNC:42	ABCB11	BSEP|PFIC2
51	HGNC:51	ABCC1	MRP|MRP1
53	HGNC:53	ABCC2	CMOAT
54	HGNC:54	ABCC3	
55	HGNC:55	ABCC4	
56	HGNC:56	ABCC5	
40055	HGNC:40055	ABCC5-AS1	
57	HGNC:57	ABCC6	ARA|PXE
33352	HGNC:33352	ABCC6P1	
33353	HGNC:33353	ABCC6P2	
59	HGNC:59	ABCC8	SUR|HRINS
60	HGNC:60	ABCC9	
52	HGNC:52	ABCC10	
14639	HGNC:14639	ABCC11	
14640	HGNC:14640	ABCC12	
16022	HGNC:16022	ABCC13	
61	HGNC:61	ABCD1	ALD
62	HGNC:62	ABCD1P1	
63	HGNC:63	ABCD1P2	
64	HGNC:64	ABCD1P3	
65	HGNC:65	ABCD1P4	
42662	HGNC:42662	ABCD1P5	
66	HGNC:66	ABCD2	ALDL1
67	HGNC:67	ABCD3	PXMP1
68	HGNC:68	ABCD4	PXMP1L
69	HGNC:69	ABCE1	RNASEL1|RNASELI|RNS4I
70	HGNC:70	ABCF1	ABC50
53628	HGNC:53628	ABCF1-DT	
71	HGNC:71	ABCF2	
54751	HGNC:54751	ABCF2-H2BK1	ABCF2-H2BE1
48841	HGNC:48841	ABCF2P1	
48842	HGNC:48842	ABCF2P2	
72	HGNC:72	ABCF3	
73	HGNC:73	ABCG1	
74	HGNC:74	ABCG2	
13884	HGNC:13884	ABCG4	
13886	HGNC:13886	ABCG5	
13887	HGNC:13887	ABCG8	
17553	HGNC:17553	ABHD1	
18717	HGNC:18717	ABHD2	
18718	HGNC:18718	ABHD3	
20154	HGNC:20154	ABHD4	
21396	HGNC:21396	ABHD5	
21398	HGNC:21398	ABHD6	
23759	HGNC:23759	ABHD8	
25656	HGNC:25656	ABHD10	
16407	HGNC:16407	ABHD11	WBSCR21
15868	HGNC:15868	ABHD12	C20orf22
19837	HGNC:19837	ABHD12B	C14orf29
20293	HGNC:20293	ABHD13	C13orf6
24538	HGNC:24538	ABHD14A	
38856	HGNC:38856	ABHD14A-ACY1	
28235	HGNC:28235	ABHD14B	
26971	HGNC:26971	ABHD15	
49685	HGNC:49685	ABHD15-AS1	
13921	HGNC:13921	ABHD16A	BAT5
16128	HGNC:16128	ABHD16B	C20orf135
28756	HGNC:28756	ABHD17A	C19orf27|FAM108A1
28394	HGNC:28394	ABHD17AP1	FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P
34041	HGNC:34041	ABHD17AP3	FAM108A4|FAM108A4P
34042	HGNC:34042	ABHD17AP4	FAM108A5|FAM108A5P
34043	HGNC:34043	ABHD17AP5	FAM108A6|FAM108A6P
34044	HGNC:34044	ABHD17AP6	FAM108A7P
38508	HGNC:38508	ABHD17AP7	FAM108A8P
38509	HGNC:38509	ABHD17AP8	FAM108A9P
38510	HGNC:38510	ABHD17AP9	FAM108A10P
24278	HGNC:24278	ABHD17B	C9orf77|FAM108B1
26925	HGNC:26925	ABHD17C	FAM108C1
26111	HGNC:26111	ABHD18	C4orf29
11320	HGNC:11320	ABI1	SSH3BP1
20035	HGNC:20035	ABI1P1	SSH3BP1P|ABI1P
24011	HGNC:24011	ABI2	
29859	HGNC:29859	ABI3	
17265	HGNC:17265	ABI3BP	
1364	HGNC:1364	ABITRAM	C9orf6|FAM206A
39851	HGNC:39851	ABITRAMP1	FAM206BP
76	HGNC:76	ABL1	ABL
77	HGNC:77	ABL2	ABLL
78	HGNC:78	ABLIM1	LIMAB1|ABLIM
19195	HGNC:19195	ABLIM2	
29132	HGNC:29132	ABLIM3	
79	HGNC:79	ABO	
81	HGNC:81	ABR	
55674	HGNC:55674	ABR-AS1	
30655	HGNC:30655	ABRA	
21230	HGNC:21230	ABRACL	C6orf115
25829	HGNC:25829	ABRAXAS1	CCDC98|FAM175A
56461	HGNC:56461	ABRAXAS1P1	
56462	HGNC:56462	ABRAXAS1P2	
28975	HGNC:28975	ABRAXAS2	KIAA0157|FAM175B
17369	HGNC:17369	ABT1	
39557	HGNC:39557	ABT1P1	
18275	HGNC:18275	ABTB1	
23842	HGNC:23842	ABTB2	
23844	HGNC:23844	ABTB3	BTBD11
82	HGNC:82	ACAA1	
83	HGNC:83	ACAA2	
55880	HGNC:55880	ACAA2P1	
84	HGNC:84	ACACA	ACAC|ACC
85	HGNC:85	ACACB	
87	HGNC:87	ACAD8	
21497	HGNC:21497	ACAD9	
56086	HGNC:56086	ACAD9-DT	
21597	HGNC:21597	ACAD10	
30211	HGNC:30211	ACAD11	
88	HGNC:88	ACADL	
89	HGNC:89	ACADM	
90	HGNC:90	ACADS	
91	HGNC:91	ACADSB	
92	HGNC:92	ACADVL	
319	HGNC:319	ACAN	MSK16|CSPG1|AGC1
16467	HGNC:16467	ACAP1	CENTB1
16469	HGNC:16469	ACAP2	CENTB2
41426	HGNC:41426	ACAP2-IT1	
16754	HGNC:16754	ACAP3	CENTB5
93	HGNC:93	ACAT1	ACAT
94	HGNC:94	ACAT2	
15453	HGNC:15453	ACBD3	GOLPH1|GOCAP1
40701	HGNC:40701	ACBD3-AS1	
23337	HGNC:23337	ACBD4	
23338	HGNC:23338	ACBD5	
23339	HGNC:23339	ACBD6	
17715	HGNC:17715	ACBD7	
23989	HGNC:23989	ACCS	
34391	HGNC:34391	ACCSL	
25070	HGNC:25070	ACD	
2707	HGNC:2707	ACE	DCP1
13557	HGNC:13557	ACE2	
56255	HGNC:56255	ACE2-DT	
44365	HGNC:44365	ACE3P	
18356	HGNC:18356	ACER1	ASAH3
23675	HGNC:23675	ACER2	ASAH3L
54674	HGNC:54674	ACER2P1	
16066	HGNC:16066	ACER3	PHCA
108	HGNC:108	ACHE	YT
17066	HGNC:17066	ACIN1	ACINUS
4035	HGNC:4035	ACKR1	FY|DARC
1565	HGNC:1565	ACKR2	CMKBR9|CCBP2
23692	HGNC:23692	ACKR3	CMKOR1|CXCR7
1611	HGNC:1611	ACKR4	CCRL1
21142	HGNC:21142	ACKR4P1	CCRL1P|CCRL1P1
115	HGNC:115	ACLY	
19288	HGNC:19288	ACMSD	
34504	HGNC:34504	ACNATP	BAATP1
117	HGNC:117	ACO1	IREB1
118	HGNC:118	ACO2	
33904	HGNC:33904	ACOD1	IRG1
33128	HGNC:33128	ACOT1	
18431	HGNC:18431	ACOT2	
19748	HGNC:19748	ACOT4	
33159	HGNC:33159	ACOT6	C14orf42
24157	HGNC:24157	ACOT7	
15919	HGNC:15919	ACOT8	PTE1
17152	HGNC:17152	ACOT9	
18156	HGNC:18156	ACOT11	THEA
24436	HGNC:24436	ACOT12	
20999	HGNC:20999	ACOT13	THEM2
119	HGNC:119	ACOX1	
120	HGNC:120	ACOX2	
121	HGNC:121	ACOX3	
25621	HGNC:25621	ACOXL	
41112	HGNC:41112	ACOXL-AS1	
122	HGNC:122	ACP1	
123	HGNC:123	ACP2	
125	HGNC:125	ACP3	ACPP
14376	HGNC:14376	ACP4	ACPT
124	HGNC:124	ACP5	
29609	HGNC:29609	ACP6	
33781	HGNC:33781	ACP7	
126	HGNC:126	ACR	
17195	HGNC:17195	ACRBP	
54745	HGNC:54745	ACRP1	
127	HGNC:127	ACRV1	
29567	HGNC:29567	ACSBG1	
24174	HGNC:24174	ACSBG2	
26101	HGNC:26101	ACSF2	
27288	HGNC:27288	ACSF3	
3569	HGNC:3569	ACSL1	FACL2
3570	HGNC:3570	ACSL3	FACL3
40227	HGNC:40227	ACSL3-AS1	
56529	HGNC:56529	ACSL3P1	
3571	HGNC:3571	ACSL4	FACL4|MRX63|MRX68
16526	HGNC:16526	ACSL5	FACL5
16496	HGNC:16496	ACSL6	FACL6
40772	HGNC:40772	ACSL6-AS1	
18049	HGNC:18049	ACSM1	BUCS1
32017	HGNC:32017	ACSM2A	ACSM2
30931	HGNC:30931	ACSM2B	ACSM2
10522	HGNC:10522	ACSM3	SAH
32016	HGNC:32016	ACSM4	
26060	HGNC:26060	ACSM5	
51295	HGNC:51295	ACSM5P1	
31665	HGNC:31665	ACSM6	C10orf129
16091	HGNC:16091	ACSS1	ACAS2L
15814	HGNC:15814	ACSS2	ACAS2
24723	HGNC:24723	ACSS3	
129	HGNC:129	ACTA1	ACTA
130	HGNC:130	ACTA2	
45169	HGNC:45169	ACTA2-AS1	
132	HGNC:132	ACTB	
17780	HGNC:17780	ACTBL2	
134	HGNC:134	ACTBP1	
135	HGNC:135	ACTBP2	
136	HGNC:136	ACTBP3	
137	HGNC:137	ACTBP4	
139	HGNC:139	ACTBP6	
140	HGNC:140	ACTBP7	
141	HGNC:141	ACTBP8	
142	HGNC:142	ACTBP9	
31819	HGNC:31819	ACTBP10	
33971	HGNC:33971	ACTBP11	
150	HGNC:150	ACTBP12	ACTGP5
45086	HGNC:45086	ACTBP14	
55065	HGNC:55065	ACTBP15	
56590	HGNC:56590	ACTBP16	
143	HGNC:143	ACTC1	ACTC
51491	HGNC:51491	ACTE1P	
144	HGNC:144	ACTG1	ACTG|DFNA20|DFNA26
146	HGNC:146	ACTG1P1	ACTGP1|ACT1GP1
147	HGNC:147	ACTG1P2	ACTL2|ACTGP2
148	HGNC:148	ACTG1P3	ACTGP3
149	HGNC:149	ACTG1P4	ACTGP4
151	HGNC:151	ACTG1P6	ACTGP6
152	HGNC:152	ACTG1P7	ACTGP7
153	HGNC:153	ACTG1P8	ACTGP8
154	HGNC:154	ACTG1P9	ACTGP9
155	HGNC:155	ACTG1P10	ACTL1|ACTGP10
37651	HGNC:37651	ACTG1P11	
44496	HGNC:44496	ACTG1P12	
49058	HGNC:49058	ACTG1P13	
49751	HGNC:49751	ACTG1P14	
51495	HGNC:51495	ACTG1P15	
51496	HGNC:51496	ACTG1P16	
51497	HGNC:51497	ACTG1P17	
51498	HGNC:51498	ACTG1P18	
51499	HGNC:51499	ACTG1P19	
51500	HGNC:51500	ACTG1P20	
51501	HGNC:51501	ACTG1P21	
51502	HGNC:51502	ACTG1P22	
51503	HGNC:51503	ACTG1P23	
49661	HGNC:49661	ACTG1P24	POTENP
54872	HGNC:54872	ACTG1P25	
145	HGNC:145	ACTG2	ACTL3|ACTA3
24124	HGNC:24124	ACTL6A	
160	HGNC:160	ACTL6B	ACTL6
161	HGNC:161	ACTL7A	
162	HGNC:162	ACTL7B	
24018	HGNC:24018	ACTL8	
28494	HGNC:28494	ACTL9	
16127	HGNC:16127	ACTL10	C20orf134
44626	HGNC:44626	ACTL11P	ACTBP13
24758	HGNC:24758	ACTMAP	C19orf54
163	HGNC:163	ACTN1	
20131	HGNC:20131	ACTN1-DT	C14orf84|ACTN1-AS1
164	HGNC:164	ACTN2	
165	HGNC:165	ACTN3	
166	HGNC:166	ACTN4	FSGS1
44028	HGNC:44028	ACTN4P1	
44032	HGNC:44032	ACTN4P2	
51621	HGNC:51621	ACTP1	
167	HGNC:167	ACTR1A	
54703	HGNC:54703	ACTR1AP1	
168	HGNC:168	ACTR1B	CTRN2
169	HGNC:169	ACTR2	
170	HGNC:170	ACTR3	
53965	HGNC:53965	ACTR3-AS1	
17256	HGNC:17256	ACTR3B	
37724	HGNC:37724	ACTR3BP1	
38677	HGNC:38677	ACTR3BP2	
38678	HGNC:38678	ACTR3BP3	
38681	HGNC:38681	ACTR3BP4	
38682	HGNC:38682	ACTR3BP5	
38683	HGNC:38683	ACTR3BP6	
54971	HGNC:54971	ACTR3BP7	
37282	HGNC:37282	ACTR3C	
31820	HGNC:31820	ACTR3P1	
38676	HGNC:38676	ACTR3P2	
38679	HGNC:38679	ACTR3P3	
14671	HGNC:14671	ACTR5	
24025	HGNC:24025	ACTR6	
44210	HGNC:44210	ACTR6P1	
14672	HGNC:14672	ACTR8	
17372	HGNC:17372	ACTR10	
24027	HGNC:24027	ACTRT1	
55127	HGNC:55127	ACTRT1P1	
24026	HGNC:24026	ACTRT2	
24022	HGNC:24022	ACTRT3	
171	HGNC:171	ACVR1	ACVRLK2
172	HGNC:172	ACVR1B	ACVRLK4
18123	HGNC:18123	ACVR1C	
173	HGNC:173	ACVR2A	ACVR2
174	HGNC:174	ACVR2B	
44161	HGNC:44161	ACVR2B-AS1	
175	HGNC:175	ACVRL1	ACVRLK1|ORW2
177	HGNC:177	ACY1	
24104	HGNC:24104	ACY3	
179	HGNC:179	ACYP1	
180	HGNC:180	ACYP2	
186	HGNC:186	ADA	
1839	HGNC:1839	ADA2	IDGFL|CECR1
30713	HGNC:30713	ADAD1	
44550	HGNC:44550	ADAD1P1	
44552	HGNC:44552	ADAD1P2	
30714	HGNC:30714	ADAD2	
31853	HGNC:31853	ADAL	
187	HGNC:187	ADAM1A	ADAM1
44366	HGNC:44366	ADAM1B	
198	HGNC:198	ADAM2	FTNB
209	HGNC:209	ADAM3A	CYRN1
210	HGNC:210	ADAM3B	CYRN2
212	HGNC:212	ADAM5	ADAM5P
213	HGNC:213	ADAM6	C14orf96
214	HGNC:214	ADAM7	
56152	HGNC:56152	ADAM7-AS1	
56153	HGNC:56153	ADAM7-AS2	
215	HGNC:215	ADAM8	
216	HGNC:216	ADAM9	CORD9
188	HGNC:188	ADAM10	
189	HGNC:189	ADAM11	MDC
190	HGNC:190	ADAM12	
193	HGNC:193	ADAM15	
195	HGNC:195	ADAM17	TACE
196	HGNC:196	ADAM18	
197	HGNC:197	ADAM19	
199	HGNC:199	ADAM20	
20102	HGNC:20102	ADAM20P1	C14orf55
43901	HGNC:43901	ADAM20P2	
43902	HGNC:43902	ADAM20P3	
200	HGNC:200	ADAM21	
19822	HGNC:19822	ADAM21P1	ADAM21P
201	HGNC:201	ADAM22	
202	HGNC:202	ADAM23	
203	HGNC:203	ADAM24P	
206	HGNC:206	ADAM28	
207	HGNC:207	ADAM29	
208	HGNC:208	ADAM30	
15479	HGNC:15479	ADAM32	
15478	HGNC:15478	ADAM33	C20orf153
16299	HGNC:16299	ADAMDEC1	
217	HGNC:217	ADAMTS1	
218	HGNC:218	ADAMTS2	
219	HGNC:219	ADAMTS3	
220	HGNC:220	ADAMTS4	
221	HGNC:221	ADAMTS5	
222	HGNC:222	ADAMTS6	
223	HGNC:223	ADAMTS7	
49407	HGNC:49407	ADAMTS7P1	ADAMTS7P2
49409	HGNC:49409	ADAMTS7P3	
49410	HGNC:49410	ADAMTS7P4	
224	HGNC:224	ADAMTS8	
13202	HGNC:13202	ADAMTS9	
40625	HGNC:40625	ADAMTS9-AS1	
42435	HGNC:42435	ADAMTS9-AS2	
13201	HGNC:13201	ADAMTS10	
14605	HGNC:14605	ADAMTS12	
1366	HGNC:1366	ADAMTS13	C9orf8
14899	HGNC:14899	ADAMTS14	
16305	HGNC:16305	ADAMTS15	
17108	HGNC:17108	ADAMTS16	
55548	HGNC:55548	ADAMTS16-DT	
17109	HGNC:17109	ADAMTS17	
17110	HGNC:17110	ADAMTS18	ADAMTS21
17111	HGNC:17111	ADAMTS19	
40797	HGNC:40797	ADAMTS19-AS1	
17178	HGNC:17178	ADAMTS20	
14632	HGNC:14632	ADAMTSL1	C9orf94
14631	HGNC:14631	ADAMTSL2	
14633	HGNC:14633	ADAMTSL3	
19706	HGNC:19706	ADAMTSL4	TSRC1
32041	HGNC:32041	ADAMTSL4-AS1	C1orf138
40895	HGNC:40895	ADAMTSL4-AS2	
27912	HGNC:27912	ADAMTSL5	THSD6
16486	HGNC:16486	ADAP1	CENTA1
16487	HGNC:16487	ADAP2	CENTA2
