A1BG	NM_130786	ENST00000263100	NP_570602	ENSP00000263100
A2M	NM_000014	ENST00000318602	NP_000005	ENSP00000323929
NAT1	NM_000662	ENST00000307719	NP_000653	ENSP00000307218
NAT2	NM_000015	ENST00000286479	NP_000006	ENSP00000286479
SERPINA3	NM_001085	ENST00000393078	NP_001076	ENSP00000376793
AADAC	NM_001086	ENST00000232892	NP_001077	ENSP00000232892
AAMP	NM_001087	ENST00000248450	NP_001078	ENSP00000248450
AANAT	NM_001088	ENST00000392492	NP_001079	ENSP00000376282
AARS1	NM_001605	ENST00000261772	NP_001596	ENSP00000261772
ABAT	NM_020686	ENST00000268251	NP_065737	ENSP00000268251
ABCA1	NM_005502	ENST00000374736	NP_005493	ENSP00000363868
ABCA2	NM_001606	ENST00000341511	NP_001597	ENSP00000344155
ABCA3	NM_001089	ENST00000301732	NP_001080	ENSP00000301732
ABCB7	NM_001271696	ENST00000373394	NP_001258625	ENSP00000362492
ABCF1	NM_001025091	ENST00000326195	NP_001020262	ENSP00000313603
ABCA4	NM_000350	ENST00000370225	NP_000341	ENSP00000359245
ABL1	NM_005157	ENST00000318560	NP_005148	ENSP00000323315
AOC1	NM_001091	ENST00000360937	NP_001082	ENSP00000354193
ABL2	NM_007314	ENST00000502732	NP_009298	ENSP00000427562
ABR	NM_021962	ENST00000302538	NP_068781	ENSP00000303909
ACAA1	NM_001607	ENST00000333167	NP_001598	ENSP00000333664
ACACA	NM_198834	ENST00000616317	NP_942131	ENSP00000483300
ACACB	NM_001093	ENST00000338432	NP_001084	ENSP00000341044
ACADL	NM_001608	ENST00000233710	NP_001599	ENSP00000233710
ACADM	NM_000016	ENST00000370841	NP_000007	ENSP00000359878
ACADS	NM_000017	ENST00000242592	NP_000008	ENSP00000242592
ACADSB	NM_001609	ENST00000358776	NP_001600	ENSP00000357873
ACADVL	NM_000018	ENST00000356839	NP_000009	ENSP00000349297
ACAT1	NM_000019	ENST00000265838	NP_000010	ENSP00000265838
ACAT2	NM_005891	ENST00000367048	NP_005882	ENSP00000356015
ASIC2	NM_183377	ENST00000225823	NP_899233	ENSP00000225823
ASIC1	NM_001095	ENST00000447966	NP_001086	ENSP00000400228
ACHE	NM_000665	ENST00000241069	NP_000656	ENSP00000241069
ACLY	NM_001096	ENST00000352035	NP_001087	ENSP00000253792
ACO1	NM_002197	ENST00000309951	NP_002188	ENSP00000309477
ACR	NM_001097	ENST00000216139	NP_001088	ENSP00000216139
ACO2	NM_001098	ENST00000216254	NP_001089	ENSP00000216254
ACOX1	NM_004035	ENST00000293217	NP_004026	ENSP00000293217
ACP1	NM_004300	ENST00000272065	NP_004291	ENSP00000272065
ACP2	NM_001610	ENST00000672073	NP_001601	ENSP00000500291
